Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,off-screen_poss,off-screen_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,off-screen_ppp,off-screen_percentile,off-screen_freq
Thaddeus Young,IND,31,80,221,81,2489,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Theo Pinson,BKN,23,78,218,18,211,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,26.0,27.0,-100.0,-100.0,-100.0,-100.0,26.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0384615384615385,0.43364928909952605,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Thomas Bryant,WAS,21,83,248,72,1496,78.0,92.0,-100.0,-100.0,34.0,39.0,71.0,84.0,107.0,103.0,-100.0,-100.0,15.0,13.0,305.0,1.1794871794871795,0.08179419525065963,0.25573770491803277,-100.0,-100.0,-100.0,1.1470588235294117,0.27325581395348836,0.11147540983606558,1.1830985915492958,0.10584958217270195,0.23278688524590163,0.9626168224299065,0.6682464454976303,0.35081967213114756,-100.0,-100.0,-100.0,0.8666666666666667,0.6455108359133127,0.04918032786885246
Thomas Welsh,DEN,23,84,255,11,36,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Thon Maker,DET,22,85,221,64,972,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Tim Frazier,MIL,28,73,170,59,1120,16.0,13.0,2.2,0.8,-100.0,-100.0,31.0,36.0,122.0,155.0,28.0,36.0,27.0,16.0,226.2,0.8125,0.6569920844327177,0.07073386383731212,0.36363636363636365,0.9904761904761905,0.009725906277630416,-100.0,-100.0,-100.0,1.1612903225806452,0.116991643454039,0.13704686118479223,1.2704918032786885,0.052132701421800945,0.5393457117595049,1.2857142857142858,0.06109324758842444,0.1237842617152962,0.5925925925925926,0.9473684210526315,0.1193633952254642
Tim Hardaway Jr.,DAL,27,78,205,65,2057,39.0,31.0,2.3,2.2,-100.0,-100.0,46.0,48.0,189.0,193.0,79.0,80.0,94.0,109.0,449.3,0.7948717948717948,0.7150395778364116,0.08680169152014244,0.9565217391304349,0.3333333333333333,0.005119074115290451,-100.0,-100.0,-100.0,1.0434782608695652,0.2785515320334262,0.10238148230580903,1.0211640211640212,0.495260663507109,0.420654351212998,1.0126582278481013,0.3215434083601286,0.17582906743823726,1.1595744680851063,0.1609907120743034,0.2092143334075228
Timothe Luwawu-Cabarrot,CHI,24,78,210,50,669,-100.0,-100.0,0.5,0.4,-100.0,-100.0,-100.0,-100.0,52.0,46.0,18.0,22.0,13.0,19.0,83.5,-100.0,-100.0,-100.0,0.8,0.638095238095238,0.005988023952095809,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.8846153846153846,0.8293838862559242,0.6227544910179641,1.2222222222222223,0.09485530546623794,0.2155688622754491,1.4615384615384615,0.02786377708978328,0.15568862275449102
Tobias Harris,PHI,26,81,235,82,2848,92.0,82.0,4.4,4.2,23.0,22.0,100.0,73.0,224.0,274.0,62.0,58.0,71.0,67.0,576.4,0.8913043478260869,0.48284960422163586,0.1596113809854268,0.9545454545454545,0.34285714285714286,0.0076335877862595426,0.9565217391304348,0.5658914728682171,0.0399028452463567,0.73,0.8635097493036211,0.1734906315058987,1.2232142857142858,0.07109004739336493,0.3886190145732131,0.9354838709677419,0.47266881028938906,0.10756419153365719,0.9436619718309859,0.4891640866873065,0.12317834836918806
Tomas Satoransky,WAS,27,79,210,80,2164,76.0,86.0,2.1,1.9,20.0,26.0,47.0,26.0,233.0,249.0,43.0,40.0,45.0,47.0,466.1,1.131578947368421,0.11873350923482849,0.16305513838232139,0.9047619047619047,0.4523809523809524,0.004505470928985196,1.3,0.12790697674418605,0.04290924694271615,0.5531914893617021,0.9610027855153204,0.10083673031538296,1.0686695278969958,0.3459715639810427,0.4998927268826432,0.9302325581395349,0.4887459807073955,0.09225488092683973,1.0444444444444445,0.29721362229102166,0.09654580562111134
Tony Bradley,UTA,21,82,248,3,36,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Tony Parker,CHA,37,74,185,56,1003,19.0,13.0,-100.0,-100.0,-100.0,-100.0,14.0,16.0,73.0,64.0,22.0,14.0,20.0,17.0,148.0,0.6842105263157895,0.8799472295514512,0.12837837837837837,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.1428571428571428,0.14066852367688024,0.0945945945945946,0.8767123287671232,0.8436018957345972,0.49324324324324326,0.6363636363636364,0.9003215434083601,0.14864864864864866,0.85,0.6780185758513931,0.13513513513513514
Tony Snell,MIL,27,79,213,74,1304,28.0,29.0,0.3,0.2,11.0,16.0,-100.0,-100.0,137.0,164.0,48.0,33.0,34.0,27.0,258.3,1.0357142857142858,0.21108179419525067,0.1084010840108401,0.6666666666666667,0.8714285714285714,0.0011614401858304297,1.4545454545454546,0.05426356589147287,0.04258614014711575,-100.0,-100.0,-100.0,1.197080291970803,0.0924170616113744,0.5303910181958962,0.6875,0.8617363344051447,0.18583042973286876,0.7941176470588235,0.7848297213622291,0.13162988772744869
Torrey Craig,DEN,28,79,215,75,1503,62.0,61.0,-100.0,-100.0,12.0,5.0,33.0,38.0,176.0,179.0,45.0,44.0,55.0,48.0,383.0,0.9838709677419355,0.27440633245382584,0.1618798955613577,-100.0,-100.0,-100.0,0.4166666666666667,0.9767441860465116,0.031331592689295036,1.1515151515151516,0.12952646239554316,0.08616187989556136,1.0170454545454546,0.509478672985782,0.4595300261096606,0.9777777777777777,0.40514469453376206,0.1174934725848564,0.8727272727272727,0.6346749226006192,0.14360313315926893
Trae Young,ATL,20,74,180,81,2503,65.0,63.0,14.1,13.9,20.0,21.0,71.0,64.0,222.0,238.0,83.0,82.0,65.0,56.0,540.1,0.9692307692307692,0.3087071240105541,0.12034808368820589,0.9858156028368795,0.2714285714285714,0.026106276615441584,1.05,0.40891472868217055,0.03703017959637104,0.9014084507042254,0.6044568245125348,0.1314571375671172,1.072072072072072,0.33649289099526064,0.41103499351971856,0.9879518072289156,0.38263665594855306,0.1536752453249398,0.8615384615384616,0.6594427244582043,0.12034808368820589
Treveon Graham,BKN,25,77,225,35,715,34.0,31.0,-100.0,-100.0,-100.0,-100.0,27.0,21.0,41.0,31.0,18.0,6.0,25.0,21.0,145.0,0.9117647058823529,0.4234828496042216,0.23448275862068965,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.7777777777777778,0.807799442896936,0.18620689655172415,0.7560975609756098,0.9656398104265402,0.2827586206896552,0.3333333333333333,0.9967845659163987,0.12413793103448276,0.84,0.6934984520123839,0.1724137931034483
Trevon Duval,HOU,20,74,189,3,6,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Trevor Ariza,WAS,33,80,215,69,2349,43.0,47.0,-100.0,-100.0,10.0,9.0,57.0,78.0,184.0,202.0,51.0,56.0,70.0,73.0,415.0,1.0930232558139534,0.15303430079155672,0.10361445783132531,-100.0,-100.0,-100.0,0.9,0.6627906976744186,0.024096385542168676,1.368421052631579,0.016713091922005572,0.13734939759036144,1.0978260869565217,0.2772511848341232,0.4433734939759036,1.0980392156862746,0.2057877813504823,0.12289156626506025,1.042857142857143,0.30030959752321984,0.1686746987951807
